JPNUM,PLUSCREVNUM,DESCRIPTION,DESCRIPTION_LONGDESCRIPTION,STATUS,PERSONGROUP,IKO_CONDITIONS,PRIORITY,IKO_WORKTYPE,TEMPLATETYPE,JPDURATION,DOWNTIME,INTERRUPTIBLE,
T0101BDE,0,Test Child Asset #1 - Breakdown - Electrical,,ACTIVE,ELECTSUP,,4,BDE,STANDARD,1,N,N,
T0101BDM,0,Test Child Asset #1 - Breakdown - Mechanical,,ACTIVE,MECHSUP,,4,BDM,STANDARD,1,N,N,
T0101BDO,0,Test Child Asset #1 - Breakdown - Operational,,ACTIVE,PRODSUP,,4,BDO,STANDARD,1,N,N,
T0101CORE,0,Test Child Asset #1 - Corrective - Post-Repair - Electrical,,ACTIVE,ELECTSUP,,3,COR,STANDARD,1,N,N,
T0101CORM,0,Test Child Asset #1 - Corrective - Post-Repair - Mechanical,,ACTIVE,MECHSUP,,3,COR,STANDARD,1,N,N,
T0101EPIE,0,Test Child Asset #1 - Equipment/Process Improvement - Electrical,,ACTIVE,ELECTSUP,,1,EPI,STANDARD,1,N,N,
T0101EPIM,0,Test Child Asset #1 - Equipment/Process Improvement - Mechanical,,ACTIVE,MECHSUP,,1,EPI,STANDARD,1,N,N,
T0101HKGM,0,Test Child Asset #1 - Housekeeping,,ACTIVE,MECHSUP,,1,HKG,STANDARD,1,N,N,
T0101INAE,0,Test Child Asset #1 - Inspection - Ad Hoc - Electrical,,ACTIVE,ELECTSUP,,3,INA,STANDARD,1,N,N,
T0101INAM,0,Test Child Asset #1 - Inspection - Ad Hoc - Mechanical,,ACTIVE,MECHSUP,,3,INA,STANDARD,1,N,N,
T0101PEME,0,Test Child Asset #1 - Pre-emptive Maintenance - Electrical,,ACTIVE,ELECTSUP,,3,PEM,STANDARD,1,N,N,
T0101PEMM,0,Test Child Asset #1 - Pre-emptive Maintenance - Mechanical,,ACTIVE,MECHSUP,,3,PEM,STANDARD,1,N,N,
T0101RECE,0,Test Child Asset #1 - Recondition - Electrical,,ACTIVE,ELECTSUP,,3,REC,STANDARD,1,N,N,
T0101RECM,0,Test Child Asset #1 - Recondition - Mechanical,,ACTIVE,MECHSUP,,3,REC,STANDARD,1,N,N,
T0101SAFE,0,Test Child Asset #1 - Safety - Electrical,,ACTIVE,ELECTSUP,,3,SAF,STANDARD,1,N,N,
T0101SAFM,0,Test Child Asset #1 - Safety - Mechanical,,ACTIVE,MECHSUP,,3,SAF,STANDARD,1,N,N,
T0101TSHE,0,Test Child Asset #1 - Troubleshooting - Electrical,,ACTIVE,ELECTSUP,,3,TSH,STANDARD,1,N,N,
